date,close
2010-12-09,2.729285955429077
2010-12-10,2.780428886413574
2010-12-13,2.625714063644409
2010-12-14,2.549285888671875
2010-12-15,2.549999952316284
2010-12-16,2.5950000286102295
2010-12-17,2.571713924407959
2010-12-20,2.5435709953308105
2010-12-21,2.6605710983276367
2010-12-22,2.6478569507598877
2010-12-23,2.636857032775879
2010-12-27,2.571571111679077
2010-12-28,2.623857021331787
2010-12-29,2.5752859115600586
2010-12-30,2.568571090698242
2010-12-31,2.509999990463257
2011-01-03,2.5487139225006104
2011-01-04,2.5910000801086426
2011-01-05,2.567570924758911
2011-01-06,2.5427141189575195
2011-01-07,2.561429023742676
2011-01-10,2.684000015258789
2011-01-11,2.666429042816162
2011-01-12,2.698570966720581
2011-01-13,2.7355709075927734
2011-01-14,2.735429048538208
2011-01-18,2.7668569087982178
2011-01-19,2.7267138957977295
2011-01-20,2.642857074737549
2011-01-21,2.601285934448242
2011-01-24,2.628000020980835
2011-01-25,2.6677141189575195
2011-01-26,2.6147139072418213
2011-01-27,3.0124289989471436
2011-01-28,3.114000082015991
2011-01-31,3.05828595161438
2011-02-01,3.041429042816162
2011-02-02,3.0179998874664307
2011-02-03,3.0212860107421875
2011-02-04,3.143857002258301
2011-02-07,3.1145710945129395
2011-02-08,3.1089999675750732
2011-02-09,3.1755709648132324
2011-02-10,3.188570976257324
2011-02-11,3.3010001182556152
2011-02-14,3.536428928375244
2011-02-15,3.439857006072998
2011-02-16,3.3959999084472656
2011-02-17,3.366142988204956
2011-02-18,3.364428997039795
2011-02-22,3.1657140254974365
2011-02-23,3.0171430110931396
2011-02-24,3.0739998817443848
2011-02-25,3.0348570346832275
2011-02-28,2.9524290561676025
2011-03-01,2.923285961151123
2011-03-02,2.9175710678100586
2011-03-03,2.9052860736846924
2011-03-04,3.0102860927581787
2011-03-07,2.9628570079803467
2011-03-08,2.7921431064605713
2011-03-09,2.756999969482422
2011-03-10,2.857429027557373
2011-03-11,2.921999931335449
2011-03-14,2.874285936355591
2011-03-15,3.1015710830688477
2011-03-16,3.054857015609741
2011-03-17,3.0557138919830322
2011-03-18,2.991429090499878
2011-03-21,3.0405709743499756
2011-03-22,3.1627140045166016
2011-03-23,3.2722859382629395
2011-03-24,3.2732861042022705
2011-03-25,3.2858569622039795
2011-03-28,3.3902859687805176
2011-03-29,3.3911430835723877
2011-03-30,3.3992860317230225
2011-03-31,3.3968570232391357
2011-04-01,3.4584290981292725
2011-04-04,3.496000051498413
2011-04-05,3.489000082015991
2011-04-06,3.42814302444458
2011-04-07,3.3422861099243164
2011-04-08,3.3551430702209473
2011-04-11,3.2594289779663086
2011-04-12,3.3417139053344727
2011-04-13,3.4107139110565186
2011-04-14,3.381856918334961
2011-04-15,3.364142894744873
2011-04-18,3.3332860469818115
2011-04-19,3.450714111328125
2011-04-20,3.4918570518493652
2011-04-21,3.6031429767608643
2011-04-25,3.5952858924865723
2011-04-26,3.2701430320739746
2011-04-27,3.370857000350952
2011-04-28,3.3481431007385254
2011-04-29,3.323857069015503
2011-05-02,3.3884289264678955
2011-05-03,3.303428888320923
2011-05-04,3.2741429805755615
2011-05-05,3.2901430130004883
2011-05-06,3.2781429290771484
2011-05-09,3.377285957336426
2011-05-10,3.394714117050171
2011-05-11,3.438143014907837
2011-05-12,3.510999917984009
2011-05-13,3.521713972091675
2011-05-16,3.38700008392334
2011-05-17,3.384856939315796
2011-05-18,3.4648571014404297
2011-05-19,3.4675710201263428
2011-05-20,3.512856960296631
2011-05-23,3.54042911529541
2011-05-24,3.5371429920196533
2011-05-25,3.706713914871216
2011-05-26,3.767857074737549
2011-05-27,3.7787139415740967
2011-05-31,3.8685710430145264
2011-06-01,3.818000078201294
2011-06-02,3.8814289569854736
2011-06-03,3.9100000858306885
2011-06-06,3.751286029815674
2011-06-07,3.7669999599456787
2011-06-08,3.7465710639953613
2011-06-09,3.750999927520752
2011-06-10,3.694571018218994
2011-06-13,3.6745710372924805
2011-06-14,3.73042893409729
2011-06-15,3.673142910003662
2011-06-16,3.561429023742676
2011-06-17,3.509571075439453
2011-06-20,3.509000062942505
2011-06-21,3.6235709190368652
2011-06-22,3.55228590965271
2011-06-23,3.6531429290771484
2011-06-24,3.6708569526672363
2011-06-27,3.7160000801086426
2011-06-28,3.7869999408721924
2011-06-29,3.7848570346832275
2011-06-30,3.752713918685913
2011-07-01,3.8284289836883545
2011-07-05,4.137570858001709
2011-07-06,4.156570911407471
2011-07-07,4.17742919921875
2011-07-08,4.2162861824035645
2011-07-11,4.15342903137207
2011-07-12,4.160999774932861
2011-07-13,4.267570972442627
2011-07-14,4.094571113586426
2011-07-15,4.098999977111816
2011-07-18,3.9857139587402344
2011-07-19,4.104143142700195
2011-07-20,4.019999980926514
2011-07-21,3.94014310836792
2011-07-22,3.9511430263519287
2011-07-25,4.021856784820557
2011-07-26,3.812999963760376
2011-07-27,3.8488569259643555
2011-07-28,3.808856964111328
2011-07-29,3.7998569011688232
2011-08-01,3.762571096420288
2011-08-02,3.674285888671875
2011-08-03,3.7142860889434814
2011-08-04,3.510999917984009
2011-08-05,3.4444289207458496
2011-08-08,3.2377140522003174
2011-08-09,3.3971428871154785
2011-08-10,3.3202860355377197
2011-08-11,3.4732859134674072
2011-08-12,3.4857139587402344
2011-08-15,3.5182859897613525
2011-08-16,3.4148569107055664
2011-08-17,3.317713975906372
2011-08-18,3.1068570613861084
2011-08-19,2.9315710067749023
2011-08-22,2.9315710067749023
2011-08-23,3.1362860202789307
2011-08-24,3.0861430168151855
2011-08-25,3.0832860469818115
2011-08-26,3.1698570251464844
2011-08-29,3.2148571014404297
2011-08-30,3.3754289150238037
2011-08-31,3.357285976409912
2011-09-01,3.3324289321899414
2011-09-02,3.044429063796997
2011-09-06,3.125286102294922
2011-09-07,3.085714101791382
2011-09-08,3.0171430110931396
2011-09-09,2.9138569831848145
2011-09-12,3.000714063644409
2011-09-13,2.982142925262451
2011-09-14,2.9815709590911865
2011-09-15,2.4178569316864014
2011-09-16,2.2170000076293945
2011-09-19,2.0535709857940674
2011-09-20,1.857571005821228
2011-09-21,1.8357139825820923
2011-09-22,1.8361430168151855
2011-09-23,1.8480000495910645
2011-09-26,1.8888570070266724
2011-09-27,1.8212859630584717
2011-09-28,1.8162859678268433
2011-09-29,1.6169999837875366
2011-09-30,1.6181429624557495
2011-10-03,1.6178569793701172
2011-10-04,1.6414289474487305
2011-10-05,1.7108570337295532
2011-10-06,1.760571002960205
2011-10-07,1.6744290590286255
2011-10-10,1.5945709943771362
2011-10-11,1.5522860288619995
2011-10-12,1.623142957687378
2011-10-13,1.6715710163116455
