date,BTC,ETH,SOL,BNB,XRP,ADA,DOGE,SP500,NASDAQ,CSI300,HSI,NIKKEI,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,NFLX,AMD,INTC,V,JNJ,PFE,PG,GOLD,SILVER,OIL
2010-12-09,,,,,,,,1233.0,2616.669921875,,23171.80078125,10285.8798828125,9.589936256408691,20.65935707092285,14.700909614562988,8.742500305175781,,0.3406039774417877,2.136667013168335,2.729285955429077,7.949999809265137,14.557373046875,17.752897262573242,40.14934158325195,8.631336212158203,40.73167037963867,1392.0999755859375,28.788999557495117,88.37000274658203
2010-12-10,,,,,,,,1240.4000244140625,2637.5400390625,,23162.91015625,10211.9501953125,9.613930702209473,20.85771942138672,14.718554496765137,8.781000137329102,,0.3426669239997864,2.101332902908325,2.780428886413574,8.069999694824219,14.624120712280273,17.99521827697754,40.05229568481445,8.76523494720459,40.94547653198242,1384.300048828125,28.576000213623047,87.79000091552734
2010-12-13,,,,,,,,1240.4599609375,2624.909912109375,,23317.609375,10293.8896484375,9.647223472595215,20.78905487060547,14.778450965881348,8.712499618530273,,0.33395692706108093,2.0366671085357666,2.625714063644409,8.229999542236328,14.350462913513184,18.150047302246094,40.01994705200195,8.852782249450684,40.938987731933594,1397.300048828125,29.599000930786133,88.61000061035156
2010-12-14,,,,,,,,1241.5899658203125,2627.719970703125,,23431.189453125,10316.76953125,9.60583209991455,21.071325302124023,14.785659790039062,8.696999549865723,,0.33441537618637085,1.9019999504089355,2.549285888671875,8.050000190734863,14.330436706542969,18.093950271606445,40.6086540222168,8.81158447265625,41.1722297668457,1403.5999755859375,29.759000778198242,88.27999877929688
2010-12-15,,,,,,,,1235.22998046875,2617.219970703125,,22975.349609375,10309.7802734375,9.607932090759277,21.24679183959961,14.671085357666016,8.778499603271484,,0.32708075642585754,1.9733330011367798,2.549999952316284,8.020000457763672,14.203618049621582,17.263755798339844,40.47927474975586,8.79613208770752,41.23052978515625,1385.5,29.225000381469727,88.62000274658203
2010-12-16,,,,,,,,1242.8699951171875,2637.31005859375,,22668.779296875,10311.2900390625,9.634621620178223,21.35360336303711,14.706128120422363,8.902000427246094,,0.3275390863418579,2.053999900817871,2.5950000286102295,8.029999732971191,14.216968536376953,15.07604694366455,40.36928939819336,8.868230819702148,41.78770065307617,1370.4000244140625,28.756999969482422,87.69999694824219
2010-12-17,,,,,,,,1243.9100341796875,2642.969970703125,,22714.849609375,10303.830078125,9.61542797088623,21.284948348999023,14.683512687683105,8.878999710083008,,0.3293727934360504,2.0906670093536377,2.571713924407959,8.100000381469727,14.323760986328125,15.010979652404785,40.45985794067383,8.770384788513184,41.9885368347168,1378.5999755859375,29.113000869750977,88.0199966430664
2010-12-20,,,,,,,,1247.0799560546875,2649.56005859375,,22639.080078125,10216.41015625,9.663413047790527,21.21627426147461,14.789386749267578,9.16450023651123,,0.32799744606018066,2.113332986831665,2.5435709953308105,8.239999771118164,14.170248985290527,15.255549430847168,40.42753219604492,8.842485427856445,42.092201232910156,1385.5,29.334999084472656,88.80999755859375
2010-12-21,,,,,,,,1254.5999755859375,2667.610107421875,,22993.859375,10370.5302734375,9.723097801208496,21.414634704589844,14.98846435546875,9.237500190734863,,0.34083321690559387,2.1506669521331787,2.6605710983276367,8.140000343322754,14.083476066589355,15.269015312194824,40.33046340942383,8.950631141662598,42.02741241455078,1388.199951171875,29.375999450683594,89.81999969482422
2010-12-22,,,,,,,,1258.8399658203125,2671.47998046875,,23045.189453125,10346.48046875,9.751887321472168,21.506179809570312,15.048609733581543,9.23799991607666,,0.34450048208236694,2.175333023071289,2.6478569507598877,8.109999656677246,13.943307876586914,15.381211280822754,40.12346649169922,9.043329238891602,42.0792350769043,1386.800048828125,29.367000579833984,90.4800033569336
2010-12-23,,,,,,,,1256.77001953125,2665.60009765625,,22902.970703125,10346.48046875,9.705102920532227,21.59010124206543,15.017294883728027,9.129500389099121,,0.3419792354106903,2.00600004196167,2.636857032775879,8.039999961853027,13.909934997558594,15.421591758728027,40.27226638793945,9.069085121154785,42.267120361328125,1380.0,29.309999465942383,91.51000213623047
2010-12-24,,,,,,,,1256.77001953125,2665.60009765625,,22833.80078125,10279.1904296875,9.705102920532227,21.59010124206543,15.017294883728027,9.129500389099121,,0.3419792354106903,2.00600004196167,2.636857032775879,8.039999961853027,13.909934997558594,15.421591758728027,40.27226638793945,9.069085121154785,42.267120361328125,1380.0,29.309999465942383,91.51000213623047
2010-12-27,,,,,,,,1257.5400390625,2667.27001953125,,22833.80078125,10355.990234375,9.73748779296875,21.414634704589844,14.97131633758545,9.107000350952148,,0.34381282329559326,1.7033330202102661,2.571571111679077,8.050000190734863,13.909934997558594,15.888299942016602,40.06523513793945,9.007280349731445,41.89784240722656,1382.4000244140625,29.235000610351562,91.0
